hotel,lead_time,arrival_date_year,arrival_date_month,weekend_nights,week_nights,adults,children,babies,is_international,days_waiting,is_repeated_guest,is_family,is_canceled,market_segment_complementary,market_segment_corporate,market_segment_direct,market_segment_groups,market_segment_offline_ta_to,market_segment_online_ta,distribution_channel_direct,distribution_channel_gds,distribution_channel_ta_to,deposit_type_non_refund,deposit_type_refundable,customer_type_group,customer_type_transient,customer_type_transient_party
0,219,2017,7,1,4,2,1,0,True,0,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
1,1,2016,12,0,1,2,0,0,False,0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
1,92,2015,9,2,3,2,0,0,True,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
0,17,2015,10,0,3,2,0,0,True,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
1,68,2016,11,2,2,2,0,0,False,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
0,43,2016,10,0,2,2,0,0,True,0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
0,43,2017,3,2,3,3,0,0,True,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
0,5,2016,10,0,1,2,0,0,True,0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
0,64,2016,10,1,2,3,0,0,True,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
1,292,2015,10,0,2,1,0,0,True,0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
0,0,2017,4,4,8,2,1,0,True,0,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
1,271,2016,9,3,7,2,0,0,False,0,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False
1,214,2017,8,2,5,2,2,0,True,0,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
1,0,2016,8,0,1,2,1,0,True,0,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
0,155,2016,6,2,1,2,0,0,False,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
1,0,2016,7,0,1,1,0,0,True,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
0,68,2017,7,2,3,2,0,0,True,0,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
1,145,2016,8,1,4,2,0,0,True,0,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False
1,42,2016,11,1,1,2,0,0,False,0,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False
0,12,2017,7,0,2,2,0,0,True,0,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False
1,166,2017,8,0,3,2,2,0,False,0,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False
0,344,2017,5,1,1,2,0,0,False,98,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True
